biomarker_id	biomarker	assessed_biomarker_entity	assessed_biomarker_entity_id	assessed_entity_type	condition	condition_id	exposure_agent	exposure_agent_id	best_biomarker_role	specimen	specimen_id	loinc_code	evidence_source	evidence	tag	vocab_pattern	biomarker_controlled_vocab	component_group	flags
AN6582-1	increased HEXCER level	HexCer(d18:1/16:0)	CHEBI:77462	metabolite	prostate cancer	DOID:10283			prognostic	urine	UBERON:0001088		PubMed:27914242	It was noted that HexCer species were in general more abundant in urinary exosomes from prostate cancer patients than from healthy controls, and that LacCer species were increased or unchanged.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of metabolite hexCer(d18:1/16:0)/CHEBI:77462	202494	
AN6583-1	decreased PS level	phosphatidylserine(18:1/18:1)	CHEBI:90437	metabolite	prostate cancer	DOID:10283			prognostic	urine	UBERON:0001088		PubMed:27914242	PS 18:1/18:1 alone demonstrated lower expression in urine in patients as compared to the controls. Also, the author calculated that in urinary exosomes, PS 18:0e18:1 in the inner leaflet could occupy 72 18% (mean SD; n Z 13) and 66 22% (mean SD; n Z 15) of the area occupied by long-chain sphingolipids (N amidated C22 and C24) in urinary exosomes from controls and prostate cancer patients, respectively. The highest significance was shown for phosphatidylserine (PS) 18:1/18:1 and lactosylceramide (d18:1/16:0), the latter also showed the highest patient-to-control ratio. Furthermore, combinations of these lipid species and PS 18:0-18:2 distinguished the two groups with 93% sensitivity and 100% specificity.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:decreased;aspect_type:level	Decreased level of metabolite phosphatidylserine(18:1/18:1)/CHEBI:90437	202495	
AN6584-1	increased ADIRF level	Adipogenesis regulatory factor	UPKB:Q15847	protein	prostate cancer	DOID:10283			diagnostic	urine	UBERON:0001088		PubMed:26196085	TM256 and LAMTOR1 could be used to augment the sensitivity to 100%. Other prominent proteins were V-type proton ATPase 16 kDa proteolipid subunit (VATL), adipogenesis regulatory factor (ADIRF), and several Rab-class members and proteasomal proteins.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein ADIRF/UPKB:Q15847	202496	
AN6585-1	increased VATL level	V-type proton ATPase 16 kDa proteolipid subunit c	UPKB:P27449	protein	prostate cancer	DOID:10283			diagnostic	urine	UBERON:0001088		PubMed:26196085	TM256 and LAMTOR1 could be used to augment the sensitivity to 100%. Other prominent proteins were V-type proton ATPase 16 kDa proteolipid subunit (VATL), adipogenesis regulatory factor (ADIRF), and several Rab-class members and proteasomal proteins.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein ATP6V0C/UPKB:P27449	202497	
AN6586-1	increased LAMTOR1 level	Ragulator complex protein LAMTOR1	UPKB:Q6IAA8	protein	prostate cancer	DOID:10283			diagnostic	urine	UBERON:0001088		PubMed:26196085	The most interesting potential prostate cancer biomarker identified in our study (both at 100% specificity and combined specificity and sensitivity) is TM256/C17orf61, a protein that has been predicted to be located at the plasma membrane and in exosomes. TM256 showed the highest sensitivity (94%) and level of enrichment (140-fold) of all the detected proteins. The fact that TM256 is also relatively abundant in patient exosomes further increases the interest for this protein as a promising biomarker.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein LAMTOR1/UPKB:Q6IAA8	202498	
AN6587-1	increased TM256 level	Transmembrane protein 256	UPKB:Q8N2U0	protein	prostate cancer	DOID:10283			diagnostic	urine	UBERON:0001088		PubMed:26196085	The most interesting potential prostate cancer biomarker identified in our study (both at 100% specificity and combined specificity and sensitivity) is TM256/C17orf61, a protein that has been predicted to be located at the plasma membrane and in exosomes. TM256 showed the highest sensitivity (94%) and level of enrichment (140-fold) of all the detected proteins. The fact that TM256 is also relatively abundant in patient exosomes further increases the interest for this protein as a promising biomarker.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein TMEM256/UPKB:Q8N2U0	202499	
AN6588-1	increased FKBP4 level	Peptidyl-prolyl cis-trans isomerase FKBP4	UPKB:Q02790	protein	prostate cancer	DOID:10283			diagnostic	prostate gland	UBERON:0002367		PubMed:17722004	FKBP4 was increased in PCa specimen. It was also interesting that FKBP4 (also known as FKBP52) was up-regulated in Pca.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein FKBP4/UPKB:Q02790	202500	
AN6589-1	decreased FLNA level	Filamin-A	UPKB:P21333	protein	prostate cancer	DOID:10283			diagnostic	prostate gland	UBERON:0002367		PubMed:17722004	2-DE protein profile of FLNA(7–15) clearly reveals a decrease in this protein in PNBX specimens from PCa patients. FLNA(7–15) levels were notably reduced in AMACR-positive PCa specimens as measured by immunoblot analysis (Fig. 3e). These results, taken with proteomics observations, suggest that FLNA(7–15) is down-regulated in prostate cancer. Among the proteins identified, the most notable was the endogenous 100-kDa fragment of FLNA and FKBP4, FLNA(7–15), which was found to be markedly down-regulated in PCa specimens.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:decreased;aspect_type:level	Decreased level of protein FLNA/UPKB:P21333	202501	
AN6590-1	increased MYO5A level	Unconventional myosin-Va	UPKB:Q9Y4I1	protein	lung cancer	DOID:1324			monitoring	blood	UBERON:0000178		PubMed:30532555	On the bottom left is the WASF1 module which included MYO5A and WASF1. These two genes both interacted with NCKAP1, CYFIP2, and CYFIP1. In this WASF1 module, four genes (CYFIP1, CYFIP2, NCKAP1, and WASF1) were involved in hsa04810: regulation of actin cytoskeleton. It has been reported that actin cytoskeleton was associated with lung cancer migration and invasion	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein MYO5A/UPKB:Q9Y4I1	202502	
AN6591-1	increased WASF1 level	Actin-binding protein WASF1	UPKB:Q92558	protein	lung cancer	DOID:1324			monitoring	blood	UBERON:0000178		PubMed:30532555	On the bottom left is the WASF1 module which included MYO5A and WASF1. These two genes both interacted with NCKAP1, CYFIP2, and CYFIP1. In this WASF1 module, four genes (CYFIP1, CYFIP2, NCKAP1, and WASF1) were involved in hsa04810: regulation of actin cytoskeleton. It has been reported that actin cytoskeleton was associated with lung cancer migration and invasion	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein WASF1/UPKB:Q92558	202503	
